Count,Name,Position X,Position Y,Position Z,DIRECTION,CHANNEL,PIXELCOUNT,Rotation,UNIVERSE,GROUPS
1,LEDVertical,29946.1850,15372.7324,0.0000,1,1,120,0,12,Cloakroom;Wall
1,LEDVertical,29801.3189,14231.4812,0.0000,0,0,120,0,12,Cloakroom;Wall
1,LEDVertical,30169.7018,16602.3897,0.0000,0,2,86,0,12,Cloakroom;Wall
1,LEDVertical,10032.7287,6814.0623,0.0000,1,3,120,0,2,Dancefloor;Left
1,LEDVertical,11194.9626,6812.6397,0.0000,0,0,102,0,1,Dancefloor;Left
1,LEDVertical,24052.8242,12170.8364,0.0000,0,0,120,0,9,Bar;Wall
1,LEDVertical,22932.8332,12166.7314,0.0000,0,0,102,0,8,Bar;Wall
1,LEDVertical,25176.8792,12175.3602,0.0000,1,1,102,0,9,Bar;Wall
1,LEDVertical,27271.5219,12183.7903,0.0000,1,3,102,0,9,Bar;Wall
1,LEDVertical,26221.8706,12179.5658,0.0000,0,2,120,0,9,Bar;Wall
1,LEDHorizontal,12357.1923,7492.5269,2100.0000,1,0,240,0,6,Dancefloor;Top
1,LEDHorizontal,29332.8857,14226.8387,2100.0000,1,0,180,90,13,Cloakroom;Top
1,LEDHorizontal,28439.1514,7492.5269,2100.0000,1,0,240,0,11,Bar;Top
1,LEDHorizontal,29616.7022,16597.7472,2100.0000,1,1,180,90,13,Cloakroom;Top
1,LEDHorizontal,21780.3526,9270.7438,500.0000,0,1,420,270,14,Bar;Counter
1,LEDHorizontal,20573.0272,9270.7438,500.0000,1,0,29,270,14,Bar;Counter
1,LEDHorizontal,16902.4182,7492.5269,2100.0000,1,0,240,0,7,Dancefloor;Top
1,LEDHorizontal,14647.1922,7492.5269,2100.0000,1,1,240,0,6,Dancefloor;Top
1,LEDHorizontal,19117.4286,7492.5269,2100.0000,1,1,240,0,7,Dancefloor;Top
1,LEDHorizontal,26221.8706,7492.5269,2100.0000,1,1,240,0,10,Bar;Top
1,LEDHorizontal,21701.6221,7492.5269,2100.0000,1,0,240,0,10,Bar;Top
1,LEDVertical,21701.6221,12161.3738,0.0000,1,1,120,0,8,Bar;Wall
1,LEDVertical,12357.1923,6814.0623,0.0000,1,1,120,0,1,Dancefloor;Left
1,LEDVertical,13522.1922,6814.0623,0.0000,0,2,102,0,1,Dancefloor;Left
1,LEDVertical,8870.4969,6814.0623,0.0000,0,2,120,0,2,Dancefloor;Left
1,LEDVertical,7620.2499,8928.6114,0.0000,0,0,120,0,2,Dancefloor;Back
1,LEDVertical,7623.4083,7871.6161,0.0000,1,1,120,0,2,Dancefloor;Back
1,LEDVertical,18052.9919,6814.0623,0.0000,0,2,102,0,0,Dancefloor;Left
1,LEDVertical,19117.4286,6814.0623,0.0000,1,3,120,0,0,Dancefloor;Left
1,LEDVertical,16902.4182,6814.0623,0.0000,1,1,120,0,0,Dancefloor;Left
1,LEDVertical,14647.1922,6814.0623,0.0000,1,3,120,0,1,Dancefloor;Left
1,LEDVertical,15771.5879,6814.0623,0.0000,0,0,102,0,0,Dancefloor;Left
1,LEDVertical,7617.0916,9985.6066,0.0000,0,0,120,0,3,Dancefloor;Back
1,LEDVertical,14709.2275,12132.9482,0.0000,1,3,120,0,4,Dancefloor;Right
1,LEDVertical,13584.7146,12128.3680,0.0000,0,2,102,0,4,Dancefloor;Right
1,LEDVertical,15834.2183,12137.5303,0.0000,0,0,102,0,5,Dancefloor;Right
1,LEDVertical,20476.6323,12156.4438,0.0000,0,2,102,0,8,Bar;Wall
1,LEDVertical,18202.3862,12147.1758,0.0000,1,1,102,0,5,Dancefloor;Right
1,LEDVertical,8699.6302,12103.8285,0.0000,0,2,120,0,3,Dancefloor;Right
1,LEDVertical,7613.9332,11042.6019,0.0000,1,1,120,0,3,Dancefloor;Back
1,LEDVertical,9922.9950,12108.8112,0.0000,1,3,120,0,3,Dancefloor;Right
1,LEDVertical,12369.7247,12123.4192,0.0000,1,1,120,0,4,Dancefloor;Right
1,LEDVertical,11146.3600,12118.4365,0.0000,0,0,102,0,4,Dancefloor;Right
